firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_no_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,profits_growthrate,output,previous_output,output_growthrate,revenues,previous_revenues,revenues_growthrate,pcm
126067,5000,1848,2,40.04166666666668,0.5104166666666667,48.958333333333336,0.0,100,1,1,0,207,405,331,281,335435.97504239983,335735.97504239983,-300.0,-300.0,0,0,0,0,0.0,0.0,0,-0.2226847034339227
126110,5000,1847,3,40.04166666666668,0.6145833333333333,38.541666666666664,0.005770155473633633,0,0,0,0,221,442,356,307,57470.108872688965,57597.01223924122,-126.9033665522557,-113.71511092056461,0,48.73108896516241,52.84205620864713,-0.07779726109166807,1951.274020646712,2122.9058054543766,-0.08084757428553424,0.03746097814776309
126173,5000,1845,3,40.04166666666668,0.6041666666666667,39.583333333333336,0.0017631030613880741,0,0,0,0,216,419,361,274,76889.58706472069,77082.76245619664,-193.17539147594348,-188.68857429131066,0,14.890054961577569,19.13246862726876,-0.2217389584344931,596.2226174198353,768.6383088714111,-0.22431316454254435,0.011446409989594406
132309,5000,1692,2,40.04166666666668,0.5625,43.75,0.0,0,0,0,0,209,425,342,292,550041.5565147421,550241.5565147421,-200.0,-300.0,0,0,0,0,0.0,0.0,0,-0.0926118626430798
132775,5000,1680,3,40.04166666666668,0.625,37.5,0.009777207885879163,100,1,1,0,261,422,374,309,123413.22102539934,123503.35021285378,-90.12918745443372,-163.7151109205646,0,82.57212296874701,52.84205620864713,0.5626213075946658,3306.325423873579,2122.9058054543766,0.5574527213495037,0.0634755463059316
134376,5000,1640,2,40.04166666666668,0.59375,40.625,0.0,0,0,0,0,237,418,360,295,80793.43825640265,80993.43825640265,-200.0,-200.0,0,0,0,0,0.0,0.0,0,-0.014568158168574102
137885,5000,1552,2,40.04166666666668,0.59375,40.625,0.0,0,0,0,0,182,373,305,250,429801.567003143,430001.567003143,-200.0,-250.0,0,0,0,0,0.0,0.0,0,-0.014568158168574102
138664,5000,1533,2,40.04166666666668,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,201,349,306,244,313622.3888630023,313822.3888630023,-200.0,-300.0,0,0,0,0,0.0,0.0,0,-0.11862643080124831
141587,5000,1460,3,40.04166666666668,0.625,37.5,0.009777207885879163,100,1,1,0,200,340,325,215,286203.4558170115,286293.5850044659,-90.12918745443372,-68.51334008861454,0,82.57212296874701,86.55164379002527,-0.04597857010009643,3306.325423873579,3477.173302037333,-0.04913412801819561,0.0634755463059316
142582,5000,1435,3,40.04166666666668,0.6666666666666667,33.333333333333336,0.025805417534861316,0,0,0,0,178,343,297,224,275392.61588173144,274130.62681105325,1261.9890706782019,1214.576817851232,0.039036026482745845,217.93625898308568,221.38999411553806,-0.015600231375632823,8726.531036781058,8894.243288369167,-0.01885626985349309,0.1675338189386058
142626,5000,1434,2,40.04166666666668,0.5729166666666667,42.708333333333336,0.0,0,0,0,0,203,351,309,245,396849.1434879554,397049.1434879554,-200.0,-300.0,0,0,0,0,0.0,0.0,0,-0.06659729448491129
142771,5000,1430,2,40.04166666666668,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,177,340,285,232,190458.71297762447,190658.71297762447,-200.0,-300.0,0,0,0,0,0.0,0.0,0,-0.11862643080124831
