period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
2050,3.46152899063069,0,0,42,0.0,0.0,1.0,42,1150.0,14,9,5,401.14292984801364,0.7747547384288432,0.295712978695595,0.24911887632038587,115557.34808577609,871.0026353190005,116428.35072109509,2022,47,901.1666666666666,35,7,17,31.24233516964825,0.6577507598784195,41.607565011820334,894.4329046712403,25.55522584774972,0
2051,3.2425281230536793,0,0,42,0.0,0.0,1.0,42,1200.0,14,10,4,404.2405459872309,0.7736674327229595,0.29502253576327697,0.25187295557665934,108345.42957118427,359.5231210153276,108704.9526921996,2023,48,902.1666666666666,35,7,17,31.039313545223727,0.658966565349544,41.48936170212767,838.2280147894093,23.949371851125978,0
2052,3.2658972034333513,0,0,42,0.0,0.0,1.0,42,1300.0,18,8,10,401.3215713631194,0.7735438752563817,0.28988139758521214,0.25073221537966855,109207.94716662775,365.5009924503149,109573.44815907806,2024,49,903.1666666666666,32,10,18,31.01417909260172,0.6668882978723405,41.3926499032882,844.5850214681608,26.393281920880025,0
2053,2.981129173304044,0,0,42,0.0,0.0,1.0,42,1450.0,18,11,7,405.3497735504207,0.7745076234956878,0.2929212043561815,0.2546281676105463,99834.79708728254,-306.397521643553,99528.39956563899,2025,50,904.1666666666666,32,10,19,30.70874280443977,0.6688829787234042,41.199226305609294,771.518536534007,24.10995426668772,0
2054,2.5873001435688407,0,0,42,0.0,0.0,1.0,42,1000.0,12,8,4,405.451572264867,0.7727531074702844,0.2946291883927856,0.25530489413390456,86703.03674893895,-1369.2234860008402,85333.8132629381,2026,51,905.1666666666666,33,9,15,30.617314427661125,0.6673114119922631,41.11389236545681,669.8160634508312,20.297456468207006,0
2055,2.341013153680188,0,0,42,0.0,0.0,1.0,42,1250.0,15,10,5,404.52318763913695,0.773099068376702,0.29068857589984387,0.2552990784211442,78498.48081175634,-2049.1088634397365,76449.3719483166,2027,52,906.1666666666666,34,8,12,30.55763659974029,0.6658322903629537,41.03343465045593,606.2441358466629,17.830709877843024,0
2056,2.0685256034889288,0,0,42,0.0,0.0,1.0,42,600.0,8,4,4,404.52318763913655,0.773099068376702,0.2906885758998434,0.25529907842114413,69361.47160849531,-2788.335281117998,66573.13632737732,2028,53,907.1666666666666,34,8,12,30.557636599740285,0.6658322903629537,41.03343465045593,535.6789708731211,15.755263849209443,0
2057,1.784394026179422,0,0,42,0.0,0.0,1.0,42,900.0,12,6,6,409.27914689657547,0.772184743124027,0.2896918504614425,0.25918985498858915,59890.21210313261,-3497.637016594984,56392.575086537625,2029,54,908.1666666666666,34,8,7,30.307916570983554,0.6670838548185232,40.911854103343465,462.31533979189646,13.597509993879308,0
2058,1.356432055387348,0,0,42,0.0,0.0,1.0,42,1150.0,15,8,7,407.1300609140094,0.7706526305384634,0.2898686679174487,0.2587187153110785,45569.11942001262,-4689.488326946498,40879.63109306612,2030,55,909.1666666666666,34,8,6,30.237066384575467,0.6683354192740926,40.79027355623101,351.6003820165139,10.341187706368055,0
2059,1.2159903068143287,0,0,42,0.0,0.0,1.0,42,1200.0,17,7,10,408.8597034945966,0.7705784960585168,0.2903477921062916,0.2602666620006649,40870.164316241855,-5057.96734717718,35812.19696906467,2031,56,910.1666666666666,34,8,6,30.128956623681116,0.6689612015018773,40.72948328267477,315.27043517100986,9.27265985797088,0
