firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_no_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,output,previous_output,revenues,previous_revenues,technology
4042,2100,1998,2,39.77272727272727,0.5729166666666667,42.708333333333336,0.0,50,1,0,1,254,467,392,329,341169.8562564469,341419.8562564469,-250.0,-200.0,0,0,0.0,0.0,18098772782277479720640121234
4283,2100,1992,2,39.77272727272727,0.53125,46.875,0.0,50,1,0,1,232,472,386,318,238229.43430095754,238479.43430095754,-250.0,-200.0,0,0,0.0,0.0,8969701691825173911389043292
4412,2100,1989,3,39.77272727272727,0.6145833333333333,38.541666666666664,0.004730713245997101,100,1,1,0,249,465,390,324,117297.70666028725,117550.33328959206,-252.62662930480624,-196.50314839721406,38.481753426249604,10.490554808357764,1530.5242839985638,418.74797943361415,46882072360304740209528886670
4772,2100,1980,2,39.77272727272727,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,236,460,402,294,444499.2904175962,444699.2904175962,-200.0,-200.0,0,0,0.0,0.0,15888660914573447772877444700
5017,2100,1974,2,39.77272727272727,0.5625,43.75,0.0,0,0,0,0,292,503,460,335,428346.82427357615,428546.82427357615,-200.0,-300.0,0,0,0.0,0.0,27968335157149328324332583940
5330,2100,1966,2,39.77272727272727,0.59375,40.625,0.0,0,0,0,0,273,513,443,343,89023.9085631925,89223.9085631925,-200.0,-300.0,0,0,0.0,0.0,40192490264304404867638086054
5863,2100,1953,2,39.77272727272727,0.5104166666666667,48.958333333333336,0.0,0,0,0,0,222,472,391,303,32186.101537121,32386.101537121,-200.0,-200.0,0,0,0.0,0.0,27370130555588376935303072478
6394,2100,1940,3,39.77272727272727,0.6354166666666667,36.458333333333336,0.01273653566229985,50,1,0,1,234,469,400,303,391425.3481163573,391331.96125776786,93.38685858942017,-66.19673762856559,103.6047207629794,76.0565223605934,4120.642303073044,3035.922850893687,60378388651757777524713052180
7685,2100,1907,3,39.77272727272727,0.625,37.5,0.008733624454148475,100,1,1,0,233,451,403,281,14901.587586201786,15040.125683714024,-138.53809751223974,-140.4988844463456,71.0432370946145,43.273538584475695,2825.583293535804,1727.335415163655,68785698976110605276965980574
7691,2100,1907,3,39.77272727272727,0.6666666666666667,33.333333333333336,0.024745269286754,100,1,1,0,244,435,376,303,216226.0327005079,215229.85242775895,996.180272748963,1063.9906783116746,201.2891717680743,207.18845746506443,8005.819331684774,8270.272593813823,46827091554218440612156788100
7915,2100,1902,2,39.77272727272727,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,204,431,355,280,547031.7574516475,547231.7574516475,-200.0,-200.0,0,0,0.0,0.0,47022283491066031112617664094
8379,2100,1890,3,39.77272727272727,0.6770833333333333,32.291666666666664,0.0287481804949054,50,1,0,1,236,425,377,284,258255.09561086714,256755.64468478013,1499.450926087,1629.7822394640173,233.8506554364394,239.97144124118236,9300.878341222022,9578.860029543865,45777423998437097392253139544
8869,2100,1878,2,39.77272727272727,0.46875,53.125,0.0,0,0,0,0,242,468,390,320,118727.3462795853,118927.3462795853,-200.0,-250.0,0,0,0.0,0.0,448219477430365050101864476
10420,2100,1839,2,39.77272727272727,0.5833333333333333,41.666666666666664,0.0,0,0,0,0,222,428,375,275,395475.35052305815,395675.35052305815,-200.0,-200.0,0,0,0.0,0.0,32006643252188369416477628574
10603,2100,1834,2,39.77272727272727,0.5416666666666667,45.833333333333336,0.0,0,0,0,0,228,460,375,313,33259.92917932081,33459.92917932081,-200.0,-200.0,0,0,0.0,0.0,48743815093783909825844054428
10671,2100,1833,2,39.77272727272727,0.59375,40.625,0.0,0,0,0,0,197,421,351,267,190630.9607839091,190830.9607839091,-200.0,-200.0,0,0,0.0,0.0,46838118409061771148703123848
10710,2100,1832,3,39.77272727272727,0.6145833333333333,38.541666666666664,0.004730713245997101,50,1,0,1,186,406,337,255,165019.78413488023,165222.41076418504,-202.62662930480624,-140.4988844463456,38.481753426249604,43.273538584475695,1530.5242839985638,1727.335415163655,19307393287281365646059199884
