firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_no_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,output,previous_output,revenues,previous_revenues,technology
70631,2109,343,3,38.597222222222214,0.6666666666666667,33.333333333333336,0.02013708092024866,100,1,1,0,47,98,83,62,18860.001851823807,18295.66345165285,564.3384001709549,396.72601708877346,164.20149026994426,136.30680467519758,6337.721409169098,5282.27242779869,65512725973494218716895956374
70631,2110,344,3,38.52539062500001,0.6666666666666667,33.333333333333336,0.019856831621537493,0,0,0,0,47,98,83,62,19494.09843640701,18860.001851823807,634.0965845832022,564.3384001709549,160.64857102442602,164.20149026994426,6189.04895206407,6337.721409169098,65512725973494218716895956374
70631,2111,345,3,38.38141025641027,0.6666666666666667,33.333333333333336,0.01929555895865235,100,1,1,0,47,99,83,63,19984.192322952535,19494.09843640701,490.09388654552345,634.0965845832022,156.51383657282716,160.64857102442602,6007.22177230643,6189.04895206407,65512725973494218716895956374
70631,2112,346,3,40.867248062015506,0.6458333333333333,35.416666666666664,0.021033934748060208,0,0,0,0,47,99,83,63,20717.786247354583,19984.192322952535,733.5939244020497,490.09388654552345,171.2833653302959,156.51383657282716,6999.879779850029,6007.22177230643,65512725973494218716895956374
70631,2113,347,3,40.81879844961241,0.6458333333333333,35.416666666666664,0.020843069445742594,0,0,0,0,47,99,83,63,21422.967275036513,20717.786247354583,705.1810276819324,733.5939244020497,167.55996781484356,171.2833653302959,6839.596554457641,6999.879779850029,65512725973494218716895956374
70631,2114,348,3,40.70692883895132,0.6458333333333333,35.416666666666664,0.020402636092804897,0,0,0,0,47,99,83,63,22084.363253502182,21422.967275036513,661.3959784656707,705.1810276819324,162.82670884979368,167.55996781484356,6628.1752502291965,6839.596554457641,65512725973494218716895956374
70631,2115,349,3,40.567129629629626,0.6458333333333333,35.416666666666664,0.019852777158153045,0,0,0,0,47,99,83,63,22708.665412251252,22084.363253502182,624.3021587490695,661.3959784656707,160.04428430543734,162.82670884979368,6492.537227899975,6628.1752502291965,65512725973494218716895956374
70631,2116,350,3,40.44200450450451,0.6458333333333333,35.416666666666664,0.01936113672108032,50,1,0,1,47,100,84,63,23248.69777251453,22708.665412251252,540.0323602632764,624.3021587490695,157.20980076499458,160.04428430543734,6357.879470690167,6492.537227899975,65512725973494218716895956374
70631,2117,351,3,40.26864035087719,0.6458333333333333,35.416666666666664,0.0186807387862797,0,0,0,0,47,100,84,63,23797.56925629173,23248.69777251453,548.871483777197,540.0323602632764,154.3436820801816,157.20980076499458,6215.210224116961,6357.879470690167,65512725973494218716895956374
70631,2118,352,2,41.717479674796756,0.5625,43.75,0.0,0,0,0,0,47,100,84,63,23597.56925629173,23797.56925629173,-200.0,548.871483777197,0,154.3436820801816,0.0,6215.210224116961,65512725973494218716895956374
70631,2119,353,2,41.556186868686865,0.5625,43.75,0.0,100,1,1,0,47,101,84,64,23297.56925629173,23597.56925629173,-300.0,-200.0,0,0,0.0,0.0,65512725973494218716895956374
70631,2120,354,2,41.30952380952382,0.5625,43.75,0.0,0,0,0,0,47,101,84,64,23097.56925629173,23297.56925629173,-200.0,-300.0,0,0,0.0,0.0,65512725973494218716895956374
70631,2121,355,2,41.23029279279282,0.5625,43.75,0.0,0,0,0,0,47,101,84,64,22897.56925629173,23097.56925629173,-200.0,-200.0,0,0,0.0,0.0,65512725973494218716895956374
70631,2122,356,2,41.05790043290046,0.5625,43.75,0.0,0,0,0,0,47,101,84,64,22697.56925629173,22897.56925629173,-200.0,-200.0,0,0,0.0,0.0,65512725973494218716895956374
70631,2123,357,2,40.99025974025977,0.5625,43.75,0.0,0,0,0,0,47,101,84,64,22497.56925629173,22697.56925629173,-200.0,-200.0,0,0,0.0,0.0,65512725973494218716895956374
70631,2124,358,2,40.820312500000036,0.5625,43.75,0.0,0,0,0,0,47,101,84,64,22297.56925629173,22497.56925629173,-200.0,-200.0,0,0,0.0,0.0,65512725973494218716895956374
70631,2125,359,2,40.742187500000036,0.5729166666666667,42.708333333333336,0.0,50,1,0,1,48,101,84,65,22047.56925629173,22297.56925629173,-250.0,-200.0,0,0,0.0,0.0,65512725973494218716895923606
