period,mktsize,meanmktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,avgmagtechshock
37,4,4,0,0,28,0.0,0.0,1.0,28,800,600,200,0.75,10,6,4,392.2099140328122,0.48591820987654316,0.17196380872045114,0.22516457776556847,130556.09486474437,3841.0789486722188,134397.1738134166,35,2,19.642857142857142,28,0,19,34.483516097286646,0.6462053571428572,44.50431034482759,1021.9827586206899,36.49938423645321,0.0
38,4,4,0,1,27,0.0,0.03571428571428571,0.9642857142857143,28,1050,900,150,0.8571428571428571,12,9,3,393.6778354583441,0.48578042328042326,0.1758705168882284,0.2262216576292941,130592.80659598365,3632.298685427407,134225.10528141106,36,3,20.642857142857142,28,0,18,34.40867772467435,0.6465773809523809,44.4683908045977,1022.1264367816095,36.5045155993432,0.0
39,4,4,1,0,28,0.03571428571428571,0.0,1.0,28,900,800,100,0.8888888888888888,10,8,2,395.1852086657734,0.4841545414462081,0.1793841430377454,0.22816897814206333,130776.44266498223,3836.183156625715,134612.62582160794,37,0,21.428571428571427,28,0,20,34.18346443788921,0.6484375,44.28879310344828,1022.8448275862074,36.530172413793125,0.0
40,4,4,0,3,25,0.0,0.10714285714285714,0.8928571428571429,28,1150,1000,150,0.8695652173913043,13,10,3,397.06179132040637,0.4833829365079365,0.1841754385964911,0.23056766610903795,130996.97625594534,3652.7788099484806,134649.7550658938,38,1,22.428571428571427,28,0,19,33.91140350877194,0.6506696428571428,44.07327586206897,1023.7068965517244,36.56096059113302,0.0
41,4,4,0,1,24,0.0,0.04,0.96,25,700,500,200,0.7142857142857143,9,5,4,425.9055490627102,0.4806944444444445,0.14416810412419623,0.2444644182153829,130549.03550809508,5420.311729536505,135969.3472376316,39,2,24.16,25,0,20,33.62980894882651,0.6570833333333334,44.511217948717956,1021.9551282051289,40.87820512820515,0.0
42,4,4,1,1,24,0.04,0.04,0.96,25,450,200,250,0.4444444444444444,7,2,5,424.20905006288615,0.4798611111111111,0.13844949099451842,0.2455643503763852,130876.79068560991,5653.823810404361,136530.61449601428,40,0,23.96,25,0,21,33.33904333072305,0.6604166666666667,44.19070512820514,1023.2371794871805,40.92948717948722,0.0
43,4,4,0,0,24,0.0,0.0,1.0,24,1100,800,300,0.7272727272727273,14,8,6,441.0538694061501,0.4792044082125604,0.13527918092444713,0.2546328877277087,130773.50347222222,5635.631944444441,136409.13541666666,41,1,25.375,24,0,21,33.013551681060235,0.6636284722222222,44.291666666666664,1022.8333333333333,42.61805555555555,0.0
44,4,4,2,0,26,0.07692307692307693,0.0,1.0,26,650,400,250,0.6153846153846154,9,4,5,411.84254834191654,0.4783653846153846,0.14915487580550013,0.24297614054351369,131605.08413827902,4990.114645252215,136595.19878353123,42,0,24.346153846153847,26,0,22,32.91535067930015,0.6638621794871795,43.47993827160492,1026.0802469135785,39.464624881291485,0.0
45,4,4,0,0,26,0.0,0.0,1.0,26,1150,1000,150,0.8695652173913043,13,10,3,411.2033545357212,0.4780128205128205,0.1461214672279012,0.2433562913142006,131723.87021795436,4483.05946121015,136206.92967916452,43,1,25.346153846153847,26,0,21,32.811247243936656,0.6650641025641026,43.36419753086418,1026.5432098765416,39.482431149097756,0.0
46,4,4,0,0,26,0.0,0.0,1.0,26,1050,700,350,0.6666666666666666,14,7,7,410.4358259539423,0.4775320512820513,0.14273581308281647,0.2441708036975327,131921.9660922494,4579.100222908053,136501.06631515746,44,2,26.346153846153847,26,0,23,32.630126182965284,0.6670673076923077,43.171296296296276,1027.314814814813,39.51210826210819,0.0
