firm_id,period,age,status,price,closer_tech,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_not_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,output,previous_output,revenues,previous_revenues,technology,mag_tech_shock,deg_tech_div,mkt_size,mean_mkt_size
195727,5000,106,3,39.21370967741936,2,0.6666666666666667,33.333333333333336,0.02254864063909289,50,1,0,1,23,48,36,35,3206.2294266171143,3317.914122824768,-111.68469620765396,-56.90180945774097,23.521505376344095,23.924731182795682,922.3654830038159,940.5892299687819,46865220243456669411655773594,0.0,0.4789426523297491,4,4
195952,5000,101,3,39.21370967741936,1,0.7395833333333333,26.041666666666668,0.050508955031568076,0,0,0,0,23,39,37,25,19612.85889982082,19118.848031512345,494.0108683084753,404.6741314024739,52.688172043010766,53.09139784946235,2066.0986819285476,2087.2626170655562,60483637884769632345146306180,0.0,0.4789426523297491,4,4
195991,5000,100,3,39.21370967741936,5,0.75,25.0,0.05450328565906453,50,1,0,1,27,36,37,26,31565.981450985353,31007.863279809495,558.118171175859,619.6214880332984,56.85483870967744,57.258064516129025,2229.489138917795,2251.073100936524,50059890002381000329669665594,0.0,0.4789426523297491,4,4
196358,5000,91,3,39.21370967741936,1,0.7291666666666667,27.083333333333332,0.04651462440407163,50,1,0,1,29,40,32,37,40632.77581623342,40294.191695236776,338.5841209966476,398.4073303272054,48.52150537634411,48.924731182795696,1902.7082249393004,1923.4521331945887,61321874516402010045928836749,0.0,0.4789426523297491,4,4
196716,5000,82,3,39.21370967741936,1,0.6770833333333333,32.291666666666664,0.026542971266589364,0,0,0,0,17,35,27,25,3205.726641000508,3214.067923229667,-8.341282229159049,-2.718341715805252,27.68817204301078,28.091397849462368,1085.755939993064,1104.3997138397503,22056419556380277782476643560,0.0,0.4789426523297491,4,4
196733,5000,81,3,39.21370967741936,4,0.6770833333333333,32.291666666666664,0.026542971266589364,50,1,0,1,25,32,30,27,9893.06727927842,9951.40856150758,-58.34128222915905,-2.718341715805252,27.68817204301078,28.091397849462368,1085.755939993064,1104.3997138397503,58434651047139893774891390747,0.0,0.4789426523297491,4,4
196775,5000,80,3,39.21370967741936,5,0.6666666666666667,33.333333333333336,0.02254864063909289,0,0,0,0,16,32,26,22,14286.235060338571,14347.919756546225,-61.68469620765396,-56.90180945774097,23.521505376344095,23.924731182795682,922.3654830038159,940.5892299687819,55478107801683322416948657059,0.0,0.4789426523297491,4,4
196786,5000,80,3,39.21370967741936,5,0.6770833333333333,32.291666666666664,0.026542971266589364,100,1,1,0,15,38,26,27,1797.6981175542069,1906.039399783366,-108.34128222915905,-52.71834171580525,27.68817204301078,28.091397849462368,1085.755939993064,1104.3997138397503,40662499920115895150152253832,0.0,0.4789426523297491,4,4
196854,5000,78,3,39.21370967741936,5,0.78125,21.875,0.0664862775415539,100,1,1,0,24,33,31,26,44832.19984492431,43929.67643181297,902.523413111343,1016.5468912591048,69.35483870967744,69.75806451612902,2719.660509885537,2742.5045525494274,41890046051877769365403492360,0.0,0.4789426523297491,4,4
197269,5000,68,3,39.21370967741936,1,0.6875,31.25,0.030537301894085808,0,0,0,0,17,28,26,19,4678.140185349823,4624.4574980449315,53.68268730489103,60.14568158168561,31.854838709677438,32.258064516129025,1249.146396982311,1268.2101977107177,59784302648210764883211140173,0.0,0.4789426523297491,4,4
197396,5000,65,3,39.21370967741936,2,0.71875,28.125,0.04252029377657517,0,0,0,0,19,36,28,27,13081.877338083203,12790.039408842827,291.837929240375,300.821084807492,44.35483870967744,44.758064516129025,1739.317767950053,1759.6416493236209,46556017611127928630845991339,0.0,0.4789426523297491,4,4
197602,5000,59,3,39.21370967741936,5,0.71875,28.125,0.04252029377657517,50,1,0,1,17,28,27,18,18246.24620303594,18004.408273795565,241.837929240375,211.91539484333424,44.35483870967744,40.59139784946235,1739.317767950053,1595.8311654526528,55498926211371483972325712805,0.0,0.4789426523297491,4,4
197713,5000,57,3,39.21370967741936,5,0.7083333333333333,29.166666666666668,0.03852596314907871,0,0,0,0,18,26,20,24,3036.5958521168936,2832.8235590772356,203.77229303965805,161.91539484333424,40.188172043010766,40.59139784946235,1575.9273109608055,1595.8311654526528,70366671004201494249980676876,0.0,0.4789426523297491,4,4
197906,5000,52,3,39.21370967741936,4,0.78125,21.875,0.0664862775415539,100,1,1,0,18,28,25,21,35597.04648876059,34694.52307564925,902.523413111343,966.5468912591048,69.35483870967744,69.75806451612902,2719.660509885537,2742.5045525494274,47758783577159743850340808557,0.0,0.4789426523297491,4,4
198368,5000,40,3,39.21370967741936,5,0.71875,28.125,0.04252029377657517,0,0,0,0,15,23,18,20,5619.629555438951,5327.791626198576,291.837929240375,300.821084807492,44.35483870967744,44.758064516129025,1739.317767950053,1759.6416493236209,65400728997989847152552919720,0.0,0.4789426523297491,4,4
198724,5000,31,3,39.21370967741936,3,0.71875,28.125,0.04252029377657517,100,1,1,0,16,16,19,13,3845.8038819165326,3653.9659526761575,191.837929240375,111.91539484333424,44.35483870967744,40.59139784946235,1739.317767950053,1595.8311654526528,22871806055947904292616501311,0.0,0.4789426523297491,4,4
198832,5000,29,3,39.21370967741936,1,0.71875,28.125,0.04252029377657517,0,0,0,0,15,22,20,17,3461.965472891213,3170.1275436508377,291.837929240375,300.821084807492,44.35483870967744,44.758064516129025,1739.317767950053,1759.6416493236209,62015495005689106375980492957,0.0,0.4789426523297491,4,4
199036,5000,24,3,39.21370967741936,3,0.6875,31.25,0.030537301894085808,100,1,1,0,10,18,13,15,2251.2761012429937,2297.593413938103,-46.31731269510897,60.14568158168561,31.854838709677438,32.258064516129025,1249.146396982311,1268.2101977107177,2454558569066370630329256790,0.0,0.4789426523297491,4,4
199099,5000,22,3,39.21370967741936,5,0.6770833333333333,32.291666666666664,0.026542971266589364,0,0,0,0,10,15,11,14,509.83764925546876,518.1789314846278,-8.341282229159049,-2.718341715805252,27.68817204301078,28.091397849462368,1085.755939993064,1104.3997138397503,20801508863902195660376843104,0.0,0.4789426523297491,4,4
