period,mktsize,meanmktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,avgmagtechshock
36.0,4.0,4.0,0.796,0.782,28.284,0.02594321302903366,0.025661228046447163,0.9743387719535522,29.066,909.1,621.6,287.5,0.6669865529960037,11.966,6.216,5.75,391.52727686298556,0.4588970076276953,0.19408609782839842,0.2138086030571387,128566.17430402584,3343.9896399815784,131910.1639440074,34.904,1.278,21.068320757345408,28.802,0.264,19.22,36.53685719298624,0.6231995139473726,46.46295935916601,1014.1481625633362,35.47356143845487,0.934
37.0,4.0,4.0,0.902,0.804,28.382,0.028929719775114403,0.026163543228500445,0.9738364567714988,29.186,908.3,623.4,284.9,0.6742621950288881,11.932,6.234,5.698,390.8294749808675,0.4583916870642175,0.19560753902375436,0.21377378668165775,128624.95050469664,3308.0848823390334,131933.0353870357,35.896,1.294,21.63271016819199,28.91,0.276,19.066,36.493737397255806,0.62351860529756,46.40474066471341,1014.3810373411454,35.37818174782551,0.826
38.0,4.0,4.0,0.838,0.796,28.424,0.027027288312205824,0.02581689225575905,0.9741831077442403,29.22,919.1,638.4,280.7,0.6821137362279796,11.998,6.384,5.614,391.041388465873,0.45787931089854494,0.19691322782756998,0.21417358005838674,128676.80584331902,3299.864939311313,131976.6707826305,36.89,1.364,22.22407559041412,28.928,0.292,19.024,36.43554298042733,0.623983321908277,46.35384684863309,1014.5846126054674,35.37267973936633,0.792
39.0,4.0,4.0,0.896,0.764,28.556,0.028858779998789816,0.0246447448837566,0.9753552551162427,29.32,901.2,613.8,287.4,0.668459251278236,11.886,6.138,5.748,390.5213782566621,0.45745016753840023,0.19843909221901238,0.21425749960924378,128740.97196186935,3289.689342593769,132030.6613044631,37.888,1.378,22.79399858165602,29.006,0.314,18.898,36.38294498831235,0.6243776654842694,46.29067200756202,1014.8373119697513,35.29407898139077,0.782
40.0,4.0,4.0,0.742,0.77,28.528,0.023943327757051124,0.024845591522757136,0.9751544084772431,29.298,909.2,628.8,280.4,0.6800001160753266,11.896,6.288,5.608,391.5627282204028,0.45705684595588775,0.200158389280618,0.2148453879673405,128745.33268277445,3312.777949568439,132058.1106323428,38.884,1.516,23.42289667961768,28.954,0.344,18.964,36.35274625980556,0.6244538716059918,46.286813759370055,1014.8527449625196,35.3549634118476,0.866
41.0,4.0,4.0,0.8,0.796,28.532,0.025774604857410052,0.02558812006874449,0.9744118799312549,29.328,911.6,620.0,291.6,0.6688247582835452,12.032,6.2,5.832,391.0742314975047,0.45665854796197347,0.20011700665582888,0.2151329320652586,128839.04170381164,3300.331685281973,132139.3733890938,39.876,1.588,24.017240520319664,28.966,0.362,19.086,36.26797313214567,0.6253311616768867,46.193876891101915,1015.2244924355921,35.3560632370517,0.588
42.0,4.0,4.0,0.74,0.708,28.564,0.023807570972723745,0.022843002321842897,0.977156997678157,29.272,922.1,634.4,287.7,0.6736111849423903,12.098,6.344,5.754,391.7263973542319,0.45622850336787335,0.20002508822061085,0.2157964488914238,128895.38334799981,3322.2477372334315,132217.63108523333,40.86,1.612,24.64979220139865,28.93,0.342,19.058,36.19370900888666,0.6260716582640472,46.13833884907685,1015.4466446036923,35.40320447420965,0.618
43.0,4.0,4.0,0.72,0.77,28.514,0.023420912992729966,0.025007181156971273,0.9749928188430284,29.284,896.6,612.8,283.8,0.6704513412374977,11.804,6.128,5.676,391.98093489305376,0.4557527474881366,0.20107152834487632,0.21619627332879335,128945.44380627046,3355.5244518178947,132300.96825808857,41.856,1.526,25.26031172264845,28.95,0.334,19.002,36.136309266133765,0.6265240985366816,46.08917477162943,1015.6433009134824,35.38229236392482,0.662
44.0,4.0,4.0,0.736,0.678,28.572,0.023780124760446233,0.022174473024581767,0.977825526975418,29.25,904.1,618.4,285.7,0.6734095116699677,11.898,6.184,5.714,392.56751182639334,0.45527094243575467,0.20146210294851494,0.21650719342929445,128940.72990000845,3369.6249595699696,132310.35485957834,42.844,1.578,25.862621195353142,28.916,0.334,19.032,36.126407741282385,0.6265783429577158,46.093998824353655,1015.6240047025859,35.42235877443284,0.908
45.0,4.0,4.0,0.674,0.682,28.564,0.021964234564907925,0.022348935461449042,0.9776510645385507,29.246,915.7,629.2,286.5,0.6754217985753935,12.022,6.292,5.73,392.6905267539205,0.45480752152219267,0.20141555913873993,0.2168864252696151,128994.85680061902,3366.6933363336084,132361.55013695272,43.838,1.674,26.486839324817304,28.914,0.332,18.938,36.06738947587665,0.6271631268667727,46.04042764480066,1015.8382894207974,35.437227826030316,0.652
