period,mktsize,meanmktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1940,3.077158819060209,4,0,0,25,0.0,0.0,1.0,25,650,500,150,0.7692307692307693,8,5,3,498.46877017345423,0.3335416666666667,0.2823651721897338,0.2939246886195196,101226.60115665702,4441.659877479517,105668.26103413654,1061,103,419.92,24,1,16,30.714276045050898,0.6670833333333333,43.5,789.2912370889436,32.887134878705986,0
1941,3.0171764754315693,4,0,0,25,0.0,0.0,1.0,25,600,400,200,0.6666666666666666,8,4,4,497.4461105168902,0.33319444444444446,0.2805392236478803,0.29365059467425647,99285.66317551438,4277.853395349941,103563.51657086432,1062,104,420.92,24,1,13,30.696767906447953,0.6675,43.45833333333334,774.0314816346745,32.251311734778106,0
1942,3.398031393473364,4,0,0,25,0.0,0.0,1.0,25,650,400,250,0.6153846153846154,9,4,5,494.32701616365114,0.33229166666666665,0.27478825247444383,0.293783741621657,112036.42523156971,5426.526357272782,117462.9515888425,1063,105,421.92,24,1,17,30.5144274974309,0.6699999999999999,43.20833333333334,872.5861449156818,36.357756038153404,0
1943,3.4105673049787186,4,0,0,25,0.0,0.0,1.0,25,550,100,450,0.18181818181818182,10,1,9,498.4774558770204,0.33340277777777777,0.28351132418581515,0.26197134062555166,108328.14698494857,5249.8278217858315,113577.9748067344,1064,106,422.92,24,1,16,35.39462445583291,0.6208333333333333,47.95833333333334,859.6050678256789,35.816877826069955,8
1944,3.390535925685817,4,0,1,24,0.0,0.04,0.96,25,850,600,250,0.7058823529411765,11,6,5,500.5080446223061,0.33451388888888894,0.28586913417052173,0.26385667996987794,107798.74631203171,4940.8279458742145,112739.57425790593,1065,107,423.92,24,1,15,35.21218880810752,0.6220833333333333,47.83333333333334,854.9801425937743,35.62417260807393,0
1945,3.5233021990382767,4,1,0,25,0.04,0.0,1.0,25,650,400,250,0.6153846153846154,9,4,5,491.22752634250867,0.34534722222222225,0.2708961874896849,0.26085430167478174,112279.20289692003,5380.927019752528,117660.12991667257,1066,0,415.64,24,1,17,35.14021840787809,0.625,47.541666666666664,889.4870009988713,37.06195837495297,0
1946,3.289872737144384,4,0,0,25,0.0,0.0,1.0,25,500,400,100,0.8,6,4,2,490.5292509448967,0.3459027777777777,0.26970297029702994,0.2607550228707082,104874.97434878079,4788.848522034538,109663.82287081532,1067,1,416.64,24,1,17,35.114136413641376,0.6254166666666667,47.5,830.6928661289568,34.6122027553732,0
1947,3.4916004532943146,4,2,0,27,0.07407407407407407,0.0,1.0,27,400,300,100,0.75,5,3,2,444.74152207459844,0.36674976258309594,0.24869347875482894,0.23086900668203658,110463.73985908269,4025.562359796172,114489.30221887886,1068,0,386.7037037037037,26,1,19,37.2696191206544,0.6084104938271605,48.45679012345678,878.288385628044,33.78032252415554,8
1948,3.9906434223765404,4,3,2,28,0.1,0.06666666666666667,0.9333333333333333,30,700,600,100,0.8571428571428571,8,6,2,407.22917755151764,0.3901819923371648,0.26157477427929776,0.2166626048523913,127249.21966652205,3663.9190137740416,130913.13868029609,1069,0,348.93333333333334,29,1,18,37.18132705440213,0.6090277777777777,47.465277777777786,1007.7760281577987,34.75089752268271,0
1949,4.372082853540631,4,2,0,30,0.06666666666666667,0.0,1.0,30,700,500,200,0.7142857142857143,9,5,4,402.92076974940346,0.39032567049808425,0.25067087969959223,0.21549304063232236,139642.25426240778,4552.9529153902495,144195.20717779803,1070,0,349.8666666666667,29,1,21,37.07340179511836,0.6111111111111112,47.25694444444444,1105.0135795459114,38.10391653606591,0
1950,4.375183682897941,4,2,0,32,0.0625,0.0,1.0,32,700,600,100,0.8571428571428571,8,6,2,383.19861523937766,0.4008736559139785,0.26456897694142634,0.20923420771319412,140648.15612313477,3679.235732471404,144327.39185560617,1071,0,328.9375,30,2,22,36.721717907942406,0.6139322916666667,46.43817204301075,1109.379572283194,36.979319076106464,0
1951,4.189357339780056,4,0,0,32,0.0,0.0,1.0,32,950,600,350,0.631578947368421,13,6,7,383.0746729439373,0.40018061155913975,0.2635903762087697,0.20970490979360287,134781.53783941976,2976.278705343334,137757.8165447631,1072,1,329.9375,30,2,18,36.62019251998058,0.6149088541666667,46.337365591397855,1062.6834192876229,35.42278064292076,0
1952,3.708045577016481,4,0,0,32,0.0,0.0,1.0,32,800,400,400,0.5,12,4,8,382.1845963823622,0.4000336021505377,0.26293697883258504,0.20965017092192206,119372.66352537725,1924.4786457067653,121297.14217108402,1073,2,330.9375,31,1,18,36.55882510156082,0.6158854166666667,46.256510416666664,940.8924242462064,30.351368524071173,0
