period,mktsize,meanmktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,avgmagtechshock
4334.0,4.0,4.0,0.786,0.784,39.082,0.018771011212222615,0.018795358756535586,0.9812046412434656,39.866,1103.8,770.0,333.8,0.6862769006581162,14.376,7.7,6.676,340.02541295385316,0.48444895867561494,0.32806567806364095,0.20283105005789842,131927.57383051692,-102.10037766411133,131825.47345285266,946.488,2.376,158.66169230794085,36.956,2.91,16.696,34.43570410734824,0.6323047971849333,43.170103953794836,1027.319584184821,28.059628126065377,0.6960000000000001
4335.0,4.0,4.0,0.776,0.774,39.084,0.01847068535585383,0.018502264241347873,0.9814977357586532,39.858,1087.5,759.4,328.1,0.6867446926901563,14.156,7.594,6.562,340.3536988604769,0.4845011905218146,0.32846703282051387,0.20298151968570252,131916.60767693928,-76.12519992404233,131840.48247701518,946.82,2.474,158.678268432672,36.882,2.976,16.758,34.438245890813334,0.6322424037848202,43.18079115870447,1027.2768353651823,28.117519395966283,0.7600000000000001
4336.0,4.0,4.0,0.794,0.788,39.09,0.01893608058571831,0.018788170511283814,0.9812118294887171,39.878,1094.8,766.2,328.6,0.6885420993212613,14.234,7.662,6.572,339.9206346600876,0.48448112789441494,0.3277747213565405,0.20277974134137208,131931.92908602965,-98.08844660896533,131833.84063942058,947.32,2.478,158.5574235922716,36.982,2.896,16.618,34.43401702622258,0.632363500313393,43.165813163826066,1027.3367473446954,28.048223178192327,0.7732000000000001
4337.0,4.0,4.0,0.814,0.768,39.136,0.019456478234465415,0.018432403447468198,0.9815675965525323,39.904,1098.9,767.8,331.1,0.6871736480793771,14.3,7.678,6.622,339.5549202534826,0.4843892262002845,0.32746674118149266,0.20232220341701615,131883.51274828633,-120.25840968400308,131763.2543386025,948.166,2.29,158.53962767725773,37.006,2.898,16.54,34.492326807020746,0.6318419438739262,43.213155769794206,1027.147376920823,28.031204422206258,0.9616000000000003
4338.0,4.0,4.0,0.728,0.756,39.108,0.01734946741911895,0.018159386114532192,0.9818406138854686,39.864,1113.7,783.4,330.3,0.6933249733267423,14.44,7.834,6.606,339.7130881433429,0.4843858321870628,0.3271345538982265,0.202486603703725,131894.1878160566,-122.08128647153697,131772.1065295852,947.628,2.464,158.6539705551916,36.95,2.914,16.474,34.47760052980141,0.6320261938474165,43.202878945278655,1027.1884842188854,28.068609210340878,0.7892000000000002
4339.0,4.0,4.0,0.848,0.828,39.128,0.020328880922025828,0.019793774927084753,0.9802062250729158,39.956,1109.2,779.0,330.2,0.6914564015598998,14.394,7.79,6.604,339.1821686579761,0.4844239424365164,0.32736599831991237,0.20239519527611116,131931.5603567682,-147.1464242060701,131784.41393256228,948.51,2.492,158.57853448993765,37.026,2.93,16.586,34.45347942984907,0.6322188557580679,43.16650540331137,1027.3339783867534,28.02000575258743,0.7384000000000003
4340.0,4.0,4.0,0.834,0.756,39.206,0.01976702601136333,0.01802167538014848,0.981978324619852,39.962,1122.0,793.6,328.4,0.6994396050982623,14.504,7.936,6.568,339.1586900158665,0.48441352181880853,0.3274752267987246,0.2024414202287463,131942.72486700412,-160.9137720644791,131781.81109493956,946.676,2.538,158.63661362886933,37.0,2.962,16.434,34.44262884399324,0.632346959116877,43.1554714392,1027.3781142432,28.04415860930186,0.7460000000000001
4341.0,4.0,4.0,0.746,0.77,39.182,0.017725481144048923,0.01840040426283624,0.9815995957371643,39.952,1097.3,766.2,331.1,0.6895758602116489,14.284,7.662,6.622,339.59082971281464,0.484430127185633,0.3280837497338848,0.20267243286978193,131948.16106192296,-122.87925133082175,131825.28181059216,947.24,2.71,158.8092804759367,37.008,2.944,16.658,34.425922717752464,0.6324355212506425,43.149842034669646,1027.4006318613212,28.02885391950512,0.73
4342.0,4.0,4.0,0.872,0.834,39.22,0.02075594765628746,0.019938029508465027,0.9800619704915351,40.054,1097.8,766.0,331.8,0.6889823193812852,14.296,7.66,6.636,338.6539002094711,0.48446942863459447,0.3279514514761364,0.20246265118538542,132015.9495485033,-164.13956630180343,131851.80998220138,946.772,2.484,158.40601406160945,37.074,2.98,16.552,34.38197289675057,0.6329469764175478,43.08394776982306,1027.6642089207078,27.983512748074947,0.6476000000000002
4343.0,4.0,4.0,0.802,0.846,39.176,0.019166981548187245,0.020153057133472235,0.9798469428665287,40.022,1103.3,771.8,331.5,0.6910618561171815,14.348,7.718,6.63,338.6310992132736,0.48441783834002583,0.3272189089350524,0.20232039336452795,131996.29923683696,-165.29093854012794,131831.00829829692,947.382,2.402,158.56380664325727,37.074,2.948,16.446,34.40223454712525,0.6328016588839863,43.10292478166252,1027.5883008733501,27.98928174183403,0.8072000000000003
4344.0,4.0,4.0,0.662,0.696,39.142,0.015824738344164844,0.016612772224792155,0.9833872277752083,39.838,1081.1,760.8,320.3,0.6931764466739316,14.014,7.608,6.406,339.6516816296978,0.4843357334361851,0.326217618771936,0.2028288051718557,131973.45034955489,-80.71705533838319,131892.73329421657,946.256,2.488,158.9469927864656,36.966,2.872,16.602,34.399071255883,0.6328687075370404,43.125309839938005,1027.4987606402478,28.074224507816908,0.7276000000000001
