firm_id,period,age,status,price,prox_opt_tech,mc,mkt_share,inv_res,researching,innovating,imitating,attraction_res,attraction_no_res,attraction_inn,attraction_imi,wealth,previous_wealth,profits,previous_profits,output,previous_output,revenues,previous_revenues,technology,magtechshock
35435,2100,1214,2,41.51995305164319,0.5,50.0,0.0,100,1,1,0,170,291,269,192,681109.7750911457,681409.7750911457,-300.0,-300.0,0,0,0.0,0.0,72347632281322056412844973476,0
35553,2100,1211,2,41.51995305164319,0.5416666666666667,45.833333333333336,0.0,0,0,0,0,133,258,220,171,184129.37986428553,184329.37986428553,-200.0,-250.0,0,0,0.0,0.0,68658201092996383702306408380,0
37640,2100,1159,3,41.51995305164319,0.59375,40.625,0.003462368032693833,50,1,0,1,166,280,248,198,183071.73025399673,183295.85258644514,-224.12233244839666,-171.6926802059728,28.915111808480077,30.14729558063904,1200.5540847711065,1253.0412027574882,77185362981801434394115310880,0
43233,2100,1019,3,41.51995305164319,0.6145833333333333,38.541666666666664,0.01152230673175162,0,0,0,0,169,257,240,186,145741.46442410498,145654.8767320507,86.58769205429309,93.27378485823834,96.22569995281086,97.03660765018216,3995.2865444022113,4033.2263713756756,72582086206284690155838571636,0
43599,2100,1010,2,41.51995305164319,0.53125,46.875,0.0,100,1,1,0,149,280,236,193,296838.8882243227,297138.8882243227,-300.0,-200.0,0,0,0.0,0.0,37092984923303552341470826284,0
44246,2100,993,3,41.51995305164319,0.6041666666666667,39.583333333333336,0.007492337382222713,0,0,0,0,120,257,222,155,217929.356018274,218008.1809364629,-78.82491818889123,-74.04763104342143,62.570405880645346,63.59195161541049,2597.920314586654,2643.133787066577,75980023099049453252231168804,0
44475,2100,988,3,41.51995305164319,0.6041666666666667,39.583333333333336,0.007492337382222713,0,0,0,0,118,245,205,158,339051.56401663326,339130.3889348222,-78.82491818889123,-74.04763104342143,62.570405880645346,63.59195161541049,2597.920314586654,2643.133787066577,65482808065023239879219698456,0
44663,2100,983,3,41.51995305164319,0.625,37.5,0.015552276081280502,0,0,0,0,126,223,208,141,134963.35944951305,134641.2439512319,322.11549828115403,280.27156749900416,129.88099402497613,130.4812636849536,5392.652774217759,5423.318955684765,66152617379211301894014511464,0
45204,2100,969,2,41.51995305164319,0.5833333333333333,41.666666666666664,0.0,100,1,1,0,120,236,195,161,45417.2807653771,45717.2807653771,-300.0,-200.0,0,0,0.0,0.0,60604804462730365333375683006,0
45360,2100,966,2,41.51995305164319,0.5208333333333333,47.916666666666664,0.0,0,0,0,0,146,237,220,163,7007.545408198042,7207.545408198042,-200.0,-200.0,0,0,0.0,0.0,70833887316001183475702302460,0
45400,2100,965,2,41.51995305164319,0.46875,53.125,0.0,0,0,0,0,138,253,231,160,131088.9294334534,131288.9294334534,-200.0,-200.0,0,0,0.0,0.0,75092064058224509772250877717,0
45449,2100,963,2,41.51995305164319,0.5416666666666667,45.833333333333336,0.0,0,0,0,0,143,228,221,150,175745.04700919995,175945.04700919995,-200.0,-200.0,0,0,0.0,0.0,60527233540138160321054033260,0
45601,2100,959,2,41.51995305164319,0.5104166666666667,48.958333333333336,0.0,50,1,0,1,167,255,242,180,318517.95919736393,318767.95919736393,-250.0,-200.0,0,0,0.0,0.0,75811995815359822795558494256,0
46608,2100,934,2,41.51995305164319,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,132,228,207,153,83144.88086635784,83344.88086635784,-200.0,-200.0,0,0,0.0,0.0,25806423909683902539272299308,0
46760,2100,931,3,41.51995305164319,0.625,37.5,0.015552276081280502,0,0,0,0,126,237,197,166,89605.61284219894,89283.49734391778,322.11549828115403,230.27156749900416,129.88099402497613,130.4812636849536,5392.652774217759,5423.318955684765,78535389016190688836024963758,0
47201,2100,919,2,41.51995305164319,0.5625,43.75,0.0,0,0,0,0,110,217,182,145,262267.32393541787,262467.32393541787,-200.0,-200.0,0,0,0.0,0.0,75986045272653850766172136364,0
47937,2100,901,2,41.51995305164319,0.53125,46.875,0.0,0,0,0,0,148,224,215,157,652135.3816213134,652335.3816213134,-200.0,-200.0,0,0,0.0,0.0,36799239915360759148290907828,0
48037,2100,899,2,41.51995305164319,0.46875,53.125,0.0,50,1,0,1,120,238,192,166,230649.8752938114,230899.8752938114,-250.0,-250.0,0,0,0.0,0.0,74061530337411007569727725820,0
48070,2100,898,2,41.51995305164319,0.5625,43.75,0.0,0,0,0,0,126,218,183,161,652814.34842696,653014.34842696,-200.0,-300.0,0,0,0.0,0.0,69172753229466811858848407054,0
48238,2100,894,2,41.51995305164319,0.53125,46.875,0.0,0,0,0,0,99,219,179,139,315055.3385532141,315255.3385532141,-200.0,-250.0,0,0,0.0,0.0,66582624298718793892916247852,0
48509,2100,887,2,41.51995305164319,0.5520833333333333,44.791666666666664,0.0,100,1,1,0,116,225,200,141,36875.16755987664,37175.16755987664,-300.0,-200.0,0,0,0.0,0.0,65906053099063139258595721720,0
49181,2100,870,2,41.51995305164319,0.5208333333333333,47.916666666666664,0.0,0,0,0,0,129,214,195,148,56310.7863249465,56510.7863249465,-200.0,-200.0,0,0,0.0,0.0,61765337728453542762088231572,0
49676,2100,858,2,41.51995305164319,0.53125,46.875,0.0,0,0,0,0,135,213,186,162,6934.181509223097,7134.181509223097,-200.0,-200.0,0,0,0.0,0.0,54975605188169703721746942312,0
51489,2100,812,3,41.51995305164319,0.6145833333333333,38.541666666666664,0.01152230673175162,50,1,0,1,114,206,174,146,51061.799405545855,51025.21171349156,36.587692054293086,93.27378485823834,96.22569995281086,97.03660765018216,3995.2865444022113,4033.2263713756756,36383972879788708709122168456,0
54083,2100,747,2,41.51995305164319,0.5625,43.75,0.0,100,1,1,0,107,183,172,118,93930.80760202205,94230.80760202205,-300.0,-300.0,0,0,0.0,0.0,75147190672511012432203120434,0
56138,2100,696,2,41.51995305164319,0.5208333333333333,47.916666666666664,0.0,0,0,0,0,81,179,133,127,65957.54407554133,66157.54407554133,-200.0,-250.0,0,0,0.0,0.0,31501823543648672287478487948,0
56193,2100,695,3,41.51995305164319,0.65625,34.375,0.02764218412986717,0,0,0,0,99,178,152,125,96552.03256977464,95102.64247691084,1449.390092863805,1359.3231158559472,230.8468762414722,230.81523178926815,9584.751463664412,9593.59670861204,71746358240200761209655137146,0
56876,2100,678,3,41.51995305164319,0.6041666666666667,39.583333333333336,0.007492337382222713,0,0,0,0,93,179,146,126,44572.9565871615,44651.78150535039,-78.82491818889123,-174.04763104342143,62.570405880645346,63.59195161541049,2597.920314586654,2643.133787066577,66275893051084310132203764104,0
57111,2100,672,2,41.51995305164319,0.5625,43.75,0.0,100,1,1,0,113,175,165,123,93603.89758195488,93903.89758195488,-300.0,-200.0,0,0,0.0,0.0,19869494982979250850159286600,0
57880,2100,653,2,41.51995305164319,0.5833333333333333,41.666666666666664,0.0,0,0,0,0,109,193,160,142,55176.322709747925,55376.322709747925,-200.0,-300.0,0,0,0.0,0.0,78399713284009468194049124780,0
59396,2100,615,2,41.51995305164319,0.5208333333333333,47.916666666666664,0.0,100,1,1,0,104,165,153,116,39998.08893890941,40298.08893890941,-300.0,-200.0,0,0,0.0,0.0,78469803390791186015860979504,0
59510,2100,612,3,41.51995305164319,0.59375,40.625,0.003462368032693833,0,0,0,0,98,159,143,114,97762.19697764408,97936.31931009248,-174.12233244839666,-171.6926802059728,28.915111808480077,30.14729558063904,1200.5540847711065,1253.0412027574882,41940151645683695500013229628,0
59537,2100,611,3,41.51995305164319,0.6145833333333333,38.541666666666664,0.01152230673175162,100,1,1,0,98,178,152,124,95285.59110472804,95299.00341267374,-13.412307945706914,-74.04763104342143,96.22569995281086,63.59195161541049,3995.2865444022113,2643.133787066577,70197905629881661129293756724,0
59651,2100,608,2,41.51995305164319,0.5833333333333333,41.666666666666664,0.0,0,0,0,0,95,153,140,108,189972.8474878517,190172.8474878517,-200.0,-200.0,0,0,0.0,0.0,62172322159035046653544764684,0
59866,2100,603,2,41.51995305164319,0.5833333333333333,41.666666666666664,0.0,100,1,1,0,116,153,156,113,49821.769572181496,50121.769572181496,-300.0,-250.0,0,0,0.0,0.0,73003242965879159270633519036,0
60049,2100,598,3,41.51995305164319,0.59375,40.625,0.003462368032693833,100,1,1,0,87,152,138,101,57397.7344753709,57671.85680781929,-274.12233244839666,-171.6926802059728,28.915111808480077,30.14729558063904,1200.5540847711065,1253.0412027574882,71104887367895642532713204524,0
60574,2100,585,2,41.51995305164319,0.5520833333333333,44.791666666666664,0.0,0,0,0,0,85,159,123,121,3272.6946619582777,3472.6946619582777,-200.0,-200.0,0,0,0.0,0.0,74763351651775578275277354024,0
61242,2100,568,2,41.51995305164319,0.48958333333333337,51.041666666666664,0.0,0,0,0,0,65,137,115,87,195324.12506546295,195524.12506546295,-200.0,-300.0,0,0,0.0,0.0,21942055965109552000767769892,0
61249,2100,568,2,41.51995305164319,0.5625,43.75,0.0,0,0,0,0,84,141,125,100,17804.45485929003,18004.45485929003,-200.0,-200.0,0,0,0.0,0.0,30028479001265995545277609788,0
61434,2100,564,3,41.51995305164319,0.59375,40.625,0.003462368032693833,0,0,0,0,71,141,120,92,16385.55557966852,16559.677912116917,-174.12233244839666,-171.6926802059728,28.915111808480077,30.14729558063904,1200.5540847711065,1253.0412027574882,47376946839980539735056459212,0
61910,2100,552,2,41.51995305164319,0.5729166666666667,42.708333333333336,0.0,0,0,0,0,79,140,124,95,19573.333928570333,19773.333928570333,-200.0,-200.0,0,0,0.0,0.0,58570802564683856113697695724,0
63537,2100,511,2,41.51995305164319,0.5104166666666667,48.958333333333336,0.0,100,1,1,0,67,126,110,83,9848.137209650777,10148.137209650777,-300.0,-200.0,0,0,0.0,0.0,75365643567317343597182290860,0
